molecule,SMILES,is_solvent
-1,,TRUE (Paraffin Oil)
-2,,TRUE (Mineral Oil)
10313079,CN(C)C.Cl,FALSE
10400,C1CCCC(=O)CC1,FALSE
10430,CC(C)CC(=O)O,FALSE
1049,C1=CC=NC=C1,FALSE
10882,CCCCC(=O)OCC,FALSE
10886,CCCCCC(=O)OCCCCC,FALSE
10890,CCCCCOC(=O)CCC,FALSE
11002,CCCCSCCCC,FALSE
11176,CCCOC(=O)CC(C)C,FALSE
11251,CC(C)C(=O)C,FALSE
1140,CC1=CC=CC=C1,FALSE
114533,CC(C1CCCCC1)OC(=O)C,FALSE
11552,CC(C)CC=O,FALSE
11702,CCC(CC)(CC)O,FALSE
11747,CCC(=O)C(=O)C,FALSE
11781,CN1C=CC2=CC=CC=C21,FALSE
12180,CCCC(=O)OC,FALSE
12206,CCCCC(=O)OC,FALSE
12297,CCCCC(C)O,FALSE
12367,CCCCCCCC(C)O,FALSE
12748,CC1=CSC=N1,FALSE
12810,CCCCCC1CCCC(=O)O1,FALSE
12813,CCCCCCC1CCC(=O)O1,FALSE
14057,CC(C)(C)CC(=O)O,FALSE
14286,CC(=O)C1=CC=CC=N1,FALSE
14514,CC1=CC=C(O1)C(=O)C,FALSE
15037,C1=CN(C=C1)CC2=CC=CO2,FALSE
15651,C1=CC=C(C=C1)OCCN,FALSE
16590,C=CCSSCC=C,FALSE
177,CC=O,FALSE
18635,CSCCC=O,FALSE
18840,C1CCC(C1)C(=O)O,FALSE
20499,C1=COC(=C1)CSSCC2=CC=CO2,FALSE
21427952,C1CCC(C1)/C=C/C#N,FALSE
22201,CC1=NC=CN=C1C,FALSE
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2  ,FALSE
23642,COC1=CC=CC=C1S,FALSE
240,C1=CC=C(C=C1)C=O,FALSE
2724126,CC1(CCCC(N1[O])(C)C)C,FALSE
27458,CCC1=NC=CN=C1CC,FALSE
2758778,CCOC1=NC=CN=C1,FALSE
31252,CC1=CN=C(C=N1)C,FALSE
