"id","components"
"166","121"
"199","441"
"204","344"
"423","155"
"588","526"
"628","321"
"715","388"
"788","61"
"909","493"
"937","97"
"992","339"
"A072","502"
"A117","283"
"A204","401"
"A209","72"
"A244","76"
"A245","24"
"A246","273"
"A316","170"
"A398","443"
"A454","305"
"A701","268"
"A866","487"
"AA007","244;526"
"AA034","121;321"
"AA085","411;155"
"AA088","344;65"
"AA097","244;100"
"AA142","121;526"
"AA160","339;282"
"AA162","244;321"
"AA175","411;526"
"AA212","411;526"
"AA217","133;96"
"AA232","133;526"
"AA297","285;96"
"AA322","282;96"
"AA324","285;155"
"AA332","133;282"
"AA339","126;526"
"AA368","493;526"
"AA374","126;61"
"AA379","285;526"
"AA385","285;96"
"AA387","493;213"
"AA420","244;526"
"AA444","411;100"
"AA474","65;96"
"AA476","126;441"
"AA495","100;96"
"AA513","282;96"
"AA524","285;65"
"AA592","126;526"
"AA616","100;96"
"AA618","411;441"
"AA632","493;65"
"AA649","133;526"
"AA700","244;61"
"AA725","121;96"
"AA808","126;100"
"AA850","133;321"
"AA875","213;282"
"AA886","344;441"
"AA893","121;61"
"AA944","339;96"
"AA962","121;526"
"AA978","344;155"
"AA988","65;96"
"AB019","441;282"
"AB026","155;282"
"AB036","155;96"
"AB144","65;282"
"AB186","65;321"
"AB193","526;282"
"AB222","526;96"
"AB223","526;321"
"AB226","526;61"
"AB281","213;96"
"AB287","213;321"
"AB357","213;61"
"AB378","213;100"
"AB379","339;321"
"AB391","339;61"
"AB398","339;100"
"AB399","339;441"
"AB413","133;61"
"AB425","133;100"
"AB435","133;441"
"AB451","133;155"
"AB465","121;100"
"AB486","121;441"
"AB518","121;155"
"AB567","121;65"
"AB586","244;441"
"AB591","244;155"
"AB618","244;65"
"AB633","126;155"
"AB641","126;65"
"AB672","126;213"
"AB676","411;65"
"AB707","411;213"
"AB731","411;339"
"AB744","344;526"
"AB764","344;213"
"AB771","344;339"
"AB817","344;133"
"AB841","285;213"
"AB873","285;339"
"AB920","285;133"
"AB935","285;121"
"AB958","493;339"
"AB981","493;133"
"AB988","493;121"
"AB992","493;244"
"AC024","184;84"
"AC028","220;53"
"AC033","345;529"
"AC040","432;83"
"AC067","220;83"
"AC105","345;281"
"AC155","450;103"
"AC214","432;281"
"AC220","83;134"
"AC299","357;264"
"AC327","345;84"
"AC329","345;264"
"AC340","450;134"
"AC394","189;53"
"AC445","450;63"
"AC459","184;83"
"AC478","53;103"
"AC497","450;529"
"AC557","357;63"
"AC627","220;264"
"AC676","220;84"
"AC712","189;83"
"AC729","432;264"
"AC737","432;84"
"AC754","450;281"
"AC761","53;134"
"AC820","184;53"
"AC930","357;281"
"AC933","357;529"
"AC958","189;84"
"AD011","450;126"
"AD015","83;285"
"AD038","53;121"
"AD048","450;493"
"AD062","83;411"
"AD074","450;411"
"AD075","345;244"
"AD085","220;339"
"AD101","345;126"
"AD120","220;133"
"AD132","184;213"
"AD133","450;344"
"AD222","432;133"
"AD230","345;339"
"AD234","184;339"
"AD254","220;244"
"AD315","357;244"
"AD317","220;213"
"AD329","189;213"
"AD347","189;133"
"AD386","432;121"
"AD427","53;344"
"AD462","53;285"
"AD481","357;126"
"AD505","357;121"
"AD567","450;285"
"AD635","83;493"
"AD639","357;344"
"AD649","83;126"
"AD659","345;411"
"AD690","189;121"
"AD718","53;411"
"AD737","357;411"
"AD738","432;244"
"AD754","432;339"
"AD781","345;133"
"AD808","450;244"
"AD835","357;133"
"AD853","53;126"
"AD862","345;121"
"AD866","220;121"
"AD876","189;339"
"AD917","432;213"
"AD919","83;344"
"AD967","53;244"
"AD994","184;133"
"AD995","432;126"
"AE002","433;65"
"AE004","38;530"
"AE042","243;360"
"AE043","38;159"
"AE061","69;360"
"AE067","243;60"
"AE099","431;527"
"AE140","38;360"
"AE142","431;364"
"AE148","388;530"
"AE153","431;530"
"AE177","388;213"
"AE184","433;527"
"AE192","38;213"
"AE207","120;213"
"AE240","243;159"
"AE241","138;530"
"AE280","120;98"
"AE297","120;360"
"AE334","388;339"
"AE379","120;530"
"AE421","433;526"
"AE448","38;527"
"AE459","243;527"
"AE532","388;159"
"AE539","243;59"
"AE568","388;527"
"AE574","38;98"
"AE645","433;98"
"AE646","243;530"
"AE659","431;415"
"AE666","433;339"
"AE675","431;59"
"AE681","69;213"
"AE715","69;59"
"AE755","433;159"
"AE761","120;60"
"AE767","431;360"
"AE775","120;159"
"AE798","388;526"
"AE809","120;527"
"AE810","38;339"
"AE825","433;213"
"AE855","69;60"
"AE911","69;530"
"AE913","69;159"
"AE929","388;98"
"AE942","69;527"
"AE958","431;60"
"AE967","243;364"
"AF010","59"
"AF054","243"
"AF065","212;168;333;466;384;50;251;15;32;521"
"AF123","281"
"AF139","38"
"AF184","83"
"AF201","138"
"AF301","169;464;384;249;14"
"AF333","69"
"AF337","211;165;336;471;384;42;249;15;29;522"
"AF342","415"
"AF370","388"
"AF383","345"
"AF408","360"
"AF442","211;168;332;464;382;41;256;19;29;524"
"AF445","530"
"AF469","161;464;384;256;18"
"AF502","161;471;384;249;13"
"AF552","433"
"AF586","432"
"AF610","431"
"AF612","159"
"AF647","60"
"AF719","98"
"AF737","211;471;384;154;206"
"AF890","527"
"AF899","120"
"AF914","53"
"AF925","364"
"AF986","529"
"AG056","381;364"
"AG069","463;415"
"AG086","215;467;384;150;206"
"AG090","388;334"
"AG126","381;59"
"AG139","163;530"
"AG158","463;60"
"AG169","463;59"
"AG247","163;364"
"AG258","119;382;250;18;207"
"AG272","388;59"
"AG298","163;415"
"AG316","121;388"
"AG333","163;59"
"AG346","215;384;20"
"AG351","121;381"
"AG354","463;334"
"AG386","133;388"
"AG394","210;382;19"
"AG422","382;18;322"
"AG454","161;468;383;256;15"
"AG456","264;381"
"AG530","115;338;384;19;322"
"AG543","388;60"
"AG570","133;381"
"AG575","121;463"
"AG616","388;364"
"AG619","210;384;19"
"AG677","113;332;384;19;319"
"AG699","163;360"
"AG724","215;471;384;150;207"
"AG732","163;60"
"AG742","383;19;320"
"AG805","463;360"
"AG810","388;415"
"AG862","113;332;382;18;322"
"AG869","163;334"
"AG874","214;464;384;151;208"
"AG875","117;384;252;18;209"
"AG945","463;364"
"AG982","217;384;18"
"AG989","112;333;384;19;317"
"AH007","338;471;522"
"AH022","84;381"
"AH100","335;471;524"
"AH174","161;468;384"
"AH189","45;282"
"AH199","520;244"
"AH203","214;165;333;471;382;42;255;15;32;524"
"AH254","381;334"
"AH263","84;388"
"AH269","83;121"
"AH286","117;384;250;19;207"
"AH291","16;282"
"AH342","83;244"
"AH402","16;415"
"AH445","83;282"
"AH447","84;163"
"AH448","45;264"
"AH489","520;334"
"AH541","45;415"
"AH552","83;264"
"AH564","520;121"
"AH568","45;121"
"AH588","16;244"
"AH608","520;264"
"AH612","16;334"
"AH664","335;468;525"
"AH666","381;415"
"AH674","520;282"
"AH677","83;96"
"AH702","45;364"
"AH720","161;471;384"
"AH733","16;121"
"AH765","45;334"
"AH771","84;45"
"AH817","16;264"
"AH866","84;463"
"AH877","338;471;525"
"AH941","118;384;254;19;207"
"AH997","520;126"
"AI029","457"
"AI094","398"
"AI098","530;78"
"AI130","433;514"
"AI142","410;203;421;102;43;356;516;430;368;85"
"AI170","433;200"
"AI205","253;357"
"AI216","530;404"
"AI242","402;199;419;111;49;355;517;426;367;90"
"AI273","174;353;397;80;33;233;191;440;456;394"
"AI292","192"
"AI304","253;441"
"AI338","163;31"
"AI342","530;352"
"AI347","407;197;420;109;48;358;512;428;373;86"
"AI376","403;202;418;107;39;354;513;427;372;87"
"AI453","176;349;398;77;36;238;188;437;455;392"
"AI505","433;237"
"AI570","65;370"
"AI610","237"
"AI614","356"
"AI635","163;457"
"AI636","441"
"AI665","173;351;395;75;30;236;190;439;454;393"
"AI681","177;351;399;81;30;235;187;436;459;389"
"AI722","391"
"AI768","175;350;396;82;35;234;194;438;458;390"
"AI780","406;198;422;106;46;359;518;425;369;91"
"AI797","433;429"
"AI814","253;100"
"AI851","530;175"
"AI856","429"
"AI884","530;391"
"AI897","163;419"
"AI926","163;192"
"AI943","163;398"
"AI981","163;88"
"AI990","253;45"
"AJ003","123;172;405;129;286"
"AJ008","230;497;483;405;275"
