stimulus,Intensity,Pleasantness,Green,Cucumber,Herbal,Mint,Woody,Pine,Floral,Powdery,Fruity,Citrus,Tropical,Berry,Peach,Sweet,Caramellic,Vanilla,BrownSpice,Smoky,Burnt,Roasted,Grainy,Meaty,Nutty,Fatty,Coconut,Waxy,Dairy,Buttery,Cheesy,Sour,Fermented,Sulfurous,Garlic.Onion,Earthy,Mushroom,Musty,Ammonia,Fishy,Fecal,Rotten.Decay,Rubber,Phenolic,Animal,Medicinal,Cooling,Sharp,Chlorine,Alcoholic,Plastic,Ozone,Metallic
AA007,3.888461538,5.65,0.653846154,2.807692308,0.076923077,0.038461538,0,0.115384615,0.461538462,0.5,0.192307692,0.038461538,0.038461538,0.115384615,0.269230769,0.384615385,0,0,0,0,0,0,0,0,0,0,0.115384615,0,0,0,0,0.192307692,0,0,0,0,0,0,0,0.153846154,0,0.192307692,0,0.153846154,0.192307692,0.153846154,0.269230769,0,0.346153846,0.076923077,0.269230769,0,0
AA085,7.653846154,4.765384615,0.076923077,0,0.692307692,0.730769231,0,0,0.153846154,0,0.153846154,0.038461538,0.076923077,0,0,0.384615385,0,0,0,0.153846154,0,0.192307692,0,0,0,0.192307692,0,0.153846154,0,0,0,0,0.038461538,0,0,0.115384615,0,0.038461538,0.5,0,0,0.192307692,0.038461538,0.153846154,0,2.346153846,2.346153846,0.923076923,0.076923077,0.692307692,0,0.115384615,0
AA088,6.111538462,4.261538462,0.884615385,0.038461538,0.692307692,0.115384615,0.153846154,0,0.192307692,0.307692308,0.230769231,0,0.076923077,0.153846154,0.153846154,0.384615385,0,0,0,0,0,0,0.153846154,0,0.076923077,0.038461538,0,0,0.115384615,0,0.192307692,0.269230769,0.076923077,0,0,0.384615385,0,0.730769231,0,0,0,0.076923077,0.269230769,0.769230769,0,0.846153846,0.038461538,0.038461538,0.653846154,0.346153846,0.192307692,0.384615385,0.192307692
AA097,6.246153846,6.411538462,0.307692308,2.538461538,0.076923077,0.192307692,0,0,0.038461538,0.192307692,0.346153846,0,0,0,0,0.653846154,0,0,0,0,0,1.653846154,2.115384615,0,0.884615385,0.384615385,0,0,0.076923077,0.153846154,0,0,0,0,0,0,0,0,0,0.115384615,0,0.192307692,0,0,0,0,0.076923077,0,0.384615385,0,0,0,0
AA142,6.430769231,4.923076923,0.076923077,0,0.038461538,0,0.230769231,0,0.807692308,0.230769231,0.192307692,0,0,0,0,0.038461538,0,0,0,0.115384615,0.038461538,0.423076923,0.153846154,0.230769231,0.192307692,0.153846154,0,0.153846154,0,0.269230769,0.884615385,0.346153846,0,0.192307692,3.307692308,0,0.115384615,0,0.153846154,0,0,0.153846154,0,0.269230769,0,0.153846154,0,0.038461538,0.038461538,0,0.115384615,0.038461538,0
AA162,6.388461538,7.076923077,1.230769231,2.538461538,0.538461538,0.076923077,0.076923077,0.423076923,0.846153846,0,0.576923077,1.115384615,0.461538462,0.5,0.384615385,0.346153846,0,0,0.307692308,0,0.038461538,0,0.038461538,0,0,0,0,0.153846154,0,0,0,0.115384615,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0.384615385,0,0.038461538,0.038461538,0,0,0
AA175,4.676923077,5.007692308,0,0.038461538,0.230769231,0.115384615,0.153846154,0,1.076923077,0.307692308,0.846153846,0,0,0.153846154,0.115384615,0.692307692,0.038461538,0,0,0,0,0,0,0,0,0,0.076923077,0.153846154,0.461538462,0,0,0,0.076923077,0,0.115384615,0,0,0.230769231,0.076923077,0,0,0,0.115384615,0.5,0.115384615,0.384615385,0.538461538,0.230769231,0.269230769,0.538461538,0.423076923,0.153846154,0
AA212,3.615384615,5.073076923,0,0,0,0.153846154,0,0,1.038461538,0.615384615,0.192307692,0.346153846,0.038461538,0.076923077,0,0.769230769,0,0.192307692,0,0.076923077,0.038461538,0,0,0,0,0,0.153846154,0,0.346153846,0.076923077,0,0.269230769,0,0,0,0,0,0.115384615,0,0,0,0,0,0.192307692,0,0.576923077,0.307692308,0.423076923,0.038461538,0.230769231,0.346153846,0.269230769,0.076923077
AA217,6.157692308,4.669230769,0.192307692,0,0.192307692,0,0,0,0.115384615,0.038461538,0.076923077,0,0,0,0.269230769,0.961538462,0.384615385,0,0,0.307692308,0.653846154,0.730769231,0.384615385,0,0.5,0.576923077,0.153846154,1.076923077,0,0.653846154,0.153846154,0.038461538,0,0.384615385,0,0.384615385,0.538461538,0.038461538,0.192307692,0,0,0.192307692,0.192307692,0.115384615,0.538461538,0,0,0,0,0,0,0,0
AA297,5.165384615,5.446153846,0.153846154,0,0.192307692,0.307692308,0.076923077,0,0.307692308,0.692307692,0.269230769,0,0.115384615,0.153846154,0.115384615,1.423076923,0.346153846,0.269230769,0,0.423076923,0,0.115384615,0,0.076923077,0.230769231,0.230769231,0.423076923,1.076923077,0.153846154,1.346153846,0.384615385,0.153846154,0,0.076923077,0.038461538,0.153846154,0.076923077,0.115384615,0,0,0,0,0.115384615,0.115384615,0,0,0.076923077,0,0,0.115384615,0,0,0
