SMILES,alcoholic,aldehydic,alliaceous,almond,amber,animal,anisic,apple,apricot,aromatic,balsamic,banana,beefy,bergamot,berry,bitter,black currant,brandy,burnt,buttery,cabbage,camphoreous,caramellic,cedar,celery,chamomile,cheesy,cherry,chocolate,cinnamon,citrus,clean,clove,cocoa,coconut,coffee,cognac,cooked,cooling,cortex,coumarinic,creamy,cucumber,dairy,dry,earthy,ethereal,fatty,fermented,fishy,floral,fresh,fruit skin,fruity,garlic,gassy,geranium,grape,grapefruit,grassy,green,hawthorn,hay,hazelnut,herbal,honey,hyacinth,jasmin,juicy,ketonic,lactonic,lavender,leafy,leathery,lemon,lily,malty,meaty,medicinal,melon,metallic,milky,mint,muguet,mushroom,musk,musty,natural,nutty,odorless,oily,onion,orange,orangeflower,orris,ozone,peach,pear,phenolic,pine,pineapple,plum,popcorn,potato,powdery,pungent,radish,raspberry,ripe,roasted,rose,rummy,sandalwood,savory,sharp,smoky,soapy,solvent,sour,spicy,strawberry,sulfurous,sweaty,sweet,tea,terpenic,tobacco,tomato,tropical,vanilla,vegetable,vetiver,violet,warm,waxy,weedy,winey,woody
CN(C)C.Cl,0.3183333,0.010522267,0.07600986,0.025257753,0.0025463933,0.12240725,0.015920006,0.072369866,0.0056986427,0.031702314,0.0043498846,0.13809009,0.006469924,0.008075139,0.14617448,0.13822076,0.017221136,0.030701885,0.046492524,0.10939285,0.05781578,0.027542235,0.012038043,0.018786674,0.0053517725,0.0053414362,0.6800604,0.029314443,0.0077109197,0.00402688,0.0035196736,0.05647282,0.0057270117,0.019375477,0.022514988,0.020073814,0.057980116,0.030384164,0.07945777,0.012887462,0.0071191094,0.12844166,0.015547384,0.14942144,0.0970555,0.034518503,0.09704375,0.27033952,0.2599756,0.6537776,0.0004658863,0.17782308,0.016345916,0.96754616,0.020888682,0.093091495,0.0019370975,0.027179763,0.0030606934,0.09141541,0.008751259,0.027491137,0.010086972,0.006990579,0.05865114,0.0042573027,0.016392643,0.0072754407,0.027577443,0.07340553,0.016972855,0.021131493,0.06347699,0.05467775,0.012915031,0.004701955,0.053410273,0.022337737,0.06505313,0.014753731,0.11044634,0.029386971,0.023165962,0.006229665,0.06340722,0.015147458,0.24210145,0.044803914,0.054753006,0.24576454,0.9232721,0.003118195,0.01086446,0.0046838317,0.02613717,0.008779415,0.002480911,0.008000553,0.10522301,0.028612839,0.008170117,0.0047672004,0.0043092216,0.01597604,0.0010811136,0.45638847,0.0743817,0.020115184,0.2755965,0.0006695243,0.00025671575,0.013196102,0.0058529708,0.048743486,0.18253668,0.028727448,0.018826231,0.35108328,0.2687314,0.0034354206,0.028033454,0.00859433,0.43000185,0.0024442086,0.026294295,0.013342243,0.07014634,0.08531955,0.016523907,0.003399976,0.04278267,0.00778445,0.014519782,0.033331648,0.0008641281,0.011659998,0.09452118,0.0020075804
C1CCCC(=O)CC1,0.018219752,0.19633023,0.013303986,0.1115443,0.093365565,0.44745952,0.41923025,0.0087133115,0.023612086,0.17588508,0.13674988,0.018003434,0.04424938,0.04039808,0.016197477,0.12452545,0.06009858,0.01122266,0.057882756,0.0488511,0.027454624,0.5802986,0.18127377,0.12730186,0.058100328,0.03481718,0.022269916,0.0121410545,0.052967347,0.06945697,0.095618285,0.16402492,0.03208595,0.013328923,0.12733397,0.011633394,0.013442242,0.044514816,0.33769423,0.06312118,0.12609643,0.062374998,0.016700719,0.047917068,0.14257908,0.10004429,0.019523611,0.019919394,0.05989933,0.17917928,0.023651132,0.4278527,0.06352823,0.008173289,0.0047346246,0.04619014,0.017776078,0.024159651,0.119338,0.1097275,0.102682024,0.21054234,0.29402035,0.08760419,0.39417166,0.087557204,0.11595095,0.07700124,0.03622107,0.640751,0.16674621,0.07108562,0.24197993,0.1810317,0.08278566,0.024428874,0.04926997,0.00821264,0.1940869,0.061006594,0.1188496,0.039635655,0.8930312,0.07023868,0.017003888,0.18492565,0.48603615,0.13901058,0.074699976,0.0019458575,0.13421866,0.008027083,0.03538679,0.022816634,0.09195778,0.23610514,0.051746413,0.010203091,0.18457419,0.14803395,0.086926006,0.02487436,0.057335556,0.022576997,0.1068491,0.06437352,0.030294068,0.057043727,0.0046279016,0.03375671,0.059475817,0.06217423,0.02681849,0.055381462,0.05571922,0.0454424,0.04660097,0.6217969,0.061992712,0.054461896,0.0055227866,0.0027739306,0.08673471,0.59753364,0.052921195,0.3469809,0.09651334,0.023984943,0.010442986,0.04822028,0.051717423,0.065030724,0.015739126,0.2079343,0.009731991,0.09620626,0.011803839,0.41690198
CC(C)CC(=O)O,0.12683238,0.011017046,0.11193381,0.027519742,0.0009372087,0.07915079,0.00928571,0.19450031,0.044600572,0.0788677,0.002330213,0.06499195,0.03183787,0.0074266004,0.37939656,0.06251399,0.019145941,0.07170827,0.0409213,0.505707,0.048571553,0.009329075,0.09874273,0.0036905764,0.0030290242,0.0237468,0.96011597,0.046498943,0.1558191,0.0104982555,0.004404922,0.03373548,0.0013210463,0.15371853,0.013134974,0.062292017,0.021123013,0.087338276,0.027512169,0.018436737,0.022482043,0.2875255,0.01928362,0.6777323,0.07831562,0.009732381,0.1283652,0.7566218,0.1823601,0.060346022,0.00080190325,0.016795,0.014468976,0.975112,0.017035404,0.06534612,0.0011568608,0.14785883,0.001018941,0.11549105,0.0008325188,0.0073026773,0.014621,0.032807756,0.010763207,0.27933797,0.0040577375,0.0042607766,0.037367683,0.058872096,0.03775031,0.0039293277,0.014509906,0.0024800603,0.005042976,0.00327624,0.081616506,0.01877675,0.009776367,0.008882288,0.10942654,0.30648085,0.009122908,0.0012788037,0.033695262,0.035299655,0.04423489,0.042667463,0.061600946,0.017168596,0.09364479,0.0027699654,0.032536957,0.012239222,0.00404604,0.004462218,0.051987994,0.010214164,0.019155327,0.0023622182,0.20145018,0.08222161,0.02177116,0.06846981,0.024973005,0.60393053,0.043527793,0.034501977,0.3216645,0.12709261,0.0023652979,0.023935072,0.0015457195,0.09399826,0.4988206,0.019443147,0.02470415,0.06348062,0.8284966,0.0014452471,0.2017107,0.049477514,0.41178924,0.00084324746,0.082702085,0.0036726678,0.13922098,0.035972696,0.39332378,0.0062666237,0.026873516,0.0055901106,0.003570082,0.028795306,0.0019724371,0.006159475,0.100117706,0.0001402895
C1=CC=NC=C1,0.01611235,0.0005535756,0.10668693,0.14649786,0.0037469277,0.43039072,0.022709299,0.0024950218,0.0018976758,0.33725062,0.0116793625,0.0020253032,0.11837525,0.0008450493,0.0030369645,0.03728683,0.00096917007,0.012674326,0.90013784,0.17203052,0.027227873,0.012392793,0.08829453,0.0026639705,0.02311748,0.016102761,0.010378916,0.018102195,0.090925425,0.033030648,0.00079375936,0.0040465896,0.019665958,0.07745441,0.014454529,0.18039308,0.117058754,0.01540293,0.019535836,0.0105411885,0.011607051,0.0018116704,0.0027625337,0.019034892,0.008381083,0.07184094,0.44636917,0.008278802,0.10302136,0.81999916,0.0005021701,0.027029572,0.008929718,0.00016216715,0.008612807,0.19734727,0.015161421,0.011969948,0.00047604737,0.16475056,0.12696156,0.044755004,0.064117946,0.14715226,0.00450336,0.0045088828,0.020213895,0.013645291,0.004126033,0.02019178,0.0052226647,0.0019063188,0.017308537,0.16793782,0.0018819845,0.00067523867,0.12608436,0.0501036,0.2686465,0.00020894346,0.09902753,0.05633669,0.0088577345,0.0022801517,0.0021212064,0.003352542,0.14090598,0.0009399076,0.41797385,0.02904221,0.006267253,0.003948982,0.0074789776,0.008459559,0.0018804739,0.0020674102,0.00027587815,0.00030089507,0.1768015,0.0032066768,0.003259573,0.0020894571,0.1451632,0.11392773,0.014248636,0.45899886,0.06272265,0.00061916205,0.0056466563,0.28697395,0.0015324433,0.10244495,0.005015091,0.03442004,0.06504214,0.5519185,0.0019358525,0.2852763,0.44736394,0.10268556,0.0015856263,0.015745983,0.1153477,0.035066172,0.20838027,0.029246949,0.5193707,0.025088862,0.0009401056,0.06487292,0.056886412,0.007479972,0.00033417344,0.2015637,0.00366892,0.009229066,0.082991555,0.03280874
CCCCC(=O)OCC,0.17837815,0.03590337,0.069607556,0.087122425,0.011486363,0.15148094,0.07409276,0.79552865,0.27915868,0.06770587,0.05502441,0.5510182,0.030156774,0.035583217,0.41130564,0.046498775,0.043591555,0.25384048,0.06901941,0.19738473,0.04367119,0.012121723,0.16775428,0.040097654,0.06360924,0.11770201,0.30048284,0.18423967,0.123122506,0.016762998,0.05403974,0.05181909,0.04815373,0.10739923,0.05909456,0.037558235,0.30588502,0.09148729,0.106122315,0.09481406,0.026488433,0.0792778,0.028835652,0.12280648,0.06579966,0.116445124,0.49876708,0.12574206,0.28563482,0.044875782,0.01721802,0.20481536,0.21077292,0.9953322,0.0124949645,0.056857023,0.009560397,0.3195442,0.016353976,0.13375154,0.8831429,0.026457783,0.07277506,0.062034715,0.033847965,0.12647562,0.032134555,0.028363878,0.34033367,0.12920833,0.03846011,0.07143987,0.085370466,0.018889552,0.01994185,0.017546896,0.110637166,0.025950585,0.07872337,0.20813954,0.19738202,0.068341956,0.016700858,0.005181922,0.03593879,0.042064577,0.18931952,0.05142098,0.08504527,0.013072211,0.09962141,0.00802007,0.13468482,0.018829236,0.03369929,0.023374729,0.087549224,0.4293298,0.059942737,0.033270046,0.7802826,0.16230111,0.017745031,0.029387603,0.06091981,0.23640761,0.08432996,0.12952726,0.43898576,0.027826775,0.03507335,0.35593718,0.011619706,0.012940125,0.26254097,0.030937059,0.1083219,0.12060497,0.19511844,0.04501167,0.38969174,0.008218184,0.28894037,0.81126034,0.065861434,0.0197552,0.04286136,0.042736974,0.5871489,0.03542949,0.11669048,0.014764785,0.02613655,0.18214665,0.1926014,0.07516407,0.47134373,0.035032105
CCCCCC(=O)OCCCCC,0.08362294,0.09666889,0.02855909,0.044093005,0.03728761,0.2044513,0.04495781,0.7235094,0.30489686,0.06607012,0.023114305,0.53051054,0.0210041,0.087755606,0.3067445,0.063923046,0.07284288,0.21390976,0.06380233,0.15530418,0.056066673,0.0126113035,0.04821265,0.037462797,0.08487535,0.114915766,0.25172254,0.12908597,0.06655589,0.03669527,0.14312461,0.11715946,0.038098406,0.12953994,0.16556154,0.015996976,0.5799353,0.10295351,0.053960513,0.10960562,0.023730582,0.1333827,0.045012776,0.110886455,0.09753897,0.20252374,0.3298508,0.6258837,0.27743286,0.050345015,0.19024414,0.2229098,0.26141822,0.98323834,0.017213834,0.04165105,0.03363342,0.2632239,0.070335284,0.18805538,0.83012086,0.027484866,0.033405248,0.084251836,0.35901076,0.037405826,0.04400248,0.124009065,0.1886552,0.10639712,0.07489985,0.10411975,0.09145894,0.031198047,0.10111451,0.043471497,0.054534774,0.03506179,0.036778204,0.22498474,0.12165156,0.08140494,0.022204574,0.02402276,0.08710799,0.18083276,0.15968047,0.17727874,0.1611178,0.0082508875,0.64758337,0.020788768,0.15479691,0.057693627,0.10771764,0.028996715,0.2980796,0.4765597,0.021718472,0.044139862,0.5523419,0.16578825,0.0351638,0.028545506,0.048540108,0.16667365,0.05833864,0.11300136,0.36060065,0.02765787,0.10498829,0.19146419,0.012616529,0.046383057,0.105904594,0.036884084,0.25583166,0.15017901,0.28466222,0.050677385,0.21259764,0.045447044,0.17724308,0.75930595,0.08718653,0.019819302,0.09361647,0.054465838,0.16287911,0.025504855,0.17107692,0.022763971,0.07280408,0.12045127,0.37109,0.075643666,0.59020007,0.022348871
CCCCCOC(=O)CCC,0.0708632,0.02719647,0.017125338,0.102244884,0.018864341,0.035830576,0.061504807,0.71035,0.5420877,0.063343816,0.057026863,0.7428656,0.011666385,0.06862903,0.34564713,0.08189689,0.06671392,0.14274494,0.036036607,0.33051,0.0182946,0.028273258,0.032836948,0.04972852,0.08805641,0.10505272,0.20405225,0.50827473,0.046439417,0.05102022,0.248704,0.18603945,0.05990588,0.06950299,0.063111804,0.019176457,0.17978564,0.014746546,0.103277214,0.051580533,0.034560036,0.26494697,0.031073175,0.19745651,0.03783865,0.15976289,0.40917197,0.34759304,0.16076773,0.012154989,0.23609504,0.4169069,0.18910386,0.99324566,0.014090006,0.06303603,0.022934558,0.26960388,0.06549031,0.05724225,0.27532375,0.03302685,0.035586692,0.03476414,0.12889384,0.11334904,0.045299143,0.10797314,0.2104223,0.092566274,0.049063623,0.0771392,0.047477882,0.014111371,0.040665943,0.022847319,0.07069122,0.002684969,0.02973305,0.18296823,0.032477606,0.059359092,0.033427726,0.0116647035,0.0873889,0.08364894,0.08810344,0.16883475,0.06728436,0.014345549,0.21343307,0.007916102,0.10722851,0.043649998,0.13412455,0.02344359,0.27065647,0.5282953,0.022250451,0.017303176,0.5530308,0.18702711,0.011832813,0.013069561,0.090703785,0.16902381,0.09027457,0.17116967,0.45418882,0.0016797418,0.26099542,0.31649512,0.03355195,0.008764258,0.18999189,0.0162954,0.15776719,0.10191435,0.11924836,0.11291882,0.18814231,0.0032458017,0.088430904,0.84906256,0.18557961,0.010767046,0.0480713,0.030472577,0.5369484,0.032039095,0.038887363,0.034887463,0.0498765,0.15503395,0.38228106,0.05814106,0.33260182,0.070619315
CCCCSCCCC,0.1257346,0.060758498,0.7340018,0.0084167095,0.039940275,0.0201863,0.10874403,0.00824914,0.01882968,0.02667107,0.005818509,0.0061449055,0.10379939,0.03217131,0.038468175,0.048945803,0.23465072,0.04853626,0.12109636,0.043566212,0.21072224,0.050297193,0.038292803,0.042900313,0.20160596,0.07910904,0.11728434,0.005716787,0.020204699,0.009403861,0.055085775,0.08932769,0.023571659,0.062495314,0.008537736,0.08590995,0.06798315,0.27019,0.02562203,0.28738648,0.006567008,0.03117059,0.17582561,0.07486219,0.077147104,0.11700637,0.3354373,0.03930475,0.083392136,0.1337334,0.6081848,0.12304351,0.02873591,0.016050972,0.6003829,0.19166747,0.6342911,0.007444742,0.2649621,0.27112436,0.96503454,0.030227214,0.021987384,0.024525305,0.80501705,0.010208274,0.1366446,0.06837054,0.012538867,0.02370804,0.023134738,0.1428551,0.4307446,0.014524572,0.03182573,0.025166562,0.15311384,0.60500973,0.027550109,0.042066105,0.26190248,0.013065921,0.1621669,0.044934858,0.25852478,0.05834097,0.09660838,0.28097263,0.024692418,0.007085048,0.091111615,0.6537316,0.021920066,0.027886806,0.025399962,0.056313265,0.010433471,0.0060686795,0.025032526,0.03252654,0.007147968,0.007520223,0.06576646,0.17841545,0.023305498,0.28638336,0.34301257,0.02846869,0.016898317,0.13464378,0.44295022,0.06335562,0.027642759,0.5988709,0.09075215,0.054205243,0.014394813,0.031608168,0.0098288255,0.10510484,0.011997947,0.75560296,0.055066966,0.0164319,0.084330335,0.1479641,0.010158461,0.31548423,0.1657634,0.0115164835,0.92686146,0.07613758,0.3418465,0.07953754,0.050679095,0.14122786,0.018095598,0.013827066
CCCOC(=O)CC(C)C,0.12044275,0.013087754,0.02506086,0.034889385,0.0075104036,0.12464692,0.03693299,0.8986424,0.36255077,0.061343502,0.016222699,0.5589321,0.012088558,0.026406132,0.41626453,0.12395937,0.04707813,0.14226681,0.033479072,0.109222956,0.007759611,0.026390854,0.09847802,0.009391025,0.05598344,0.24617188,0.08179844,0.189362,0.14791727,0.02425853,0.030659799,0.011476432,0.021128746,0.11768938,0.026656466,0.026160995,0.06512971,0.026288997,0.11008799,0.024280509,0.016694799,0.021813422,0.015620434,0.05959277,0.048394438,0.017430412,0.4490929,0.03571913,0.07186344,0.012880603,0.0065760356,0.19094017,0.08824499,0.99453413,0.004021454,0.05878181,0.0036892144,0.13584308,0.0044176695,0.04951148,0.045022566,0.015014107,0.034937344,0.036686838,0.11118562,0.13785093,0.013971566,0.01731453,0.18203664,0.042403918,0.022093346,0.04914701,0.024796529,0.011830004,0.024280231,0.008446202,0.06442686,0.009481606,0.05921704,0.044472195,0.14804533,0.013402038,0.035257105,0.0013598702,0.016200652,0.01994347,0.04889922,0.0321914,0.02725174,0.005921142,0.036933143,0.0027533795,0.048536494,0.0058628395,0.01517298,0.006017407,0.14547232,0.2650515,0.010261059,0.036326237,0.7484226,0.2835789,0.004138222,0.009224812,0.024390299,0.2557976,0.030385168,0.17916994,0.34668827,0.0091032,0.039040476,0.32797274,0.008299518,0.003952168,0.28071022,0.026883181,0.020688029,0.24520035,0.17592625,0.03011917,0.24132378,0.0047434075,0.13632944,0.5865177,0.052034553,0.008802696,0.054326426,0.029736869,0.36498538,0.008316957,0.017831052,0.012106823,0.010248733,0.10159325,0.021499597,0.019787107,0.29726708,0.038979784
CC(C)C(=O)C,0.088003635,0.025392652,0.09073846,0.053920593,0.004098006,0.021410305,0.029134352,0.09734216,0.036712922,0.023355229,0.008866949,0.31337246,0.022282103,0.046381403,0.27116448,0.068147354,0.071600586,0.20060289,0.09769877,0.11064202,0.03818075,0.5640534,0.08676884,0.028950138,0.0435059,0.13839808,0.16718662,0.036850456,0.085197344,0.011481935,0.016456595,0.012004772,0.011064551,0.18387002,0.01961035,0.031173298,0.11504869,0.047120456,0.06357701,0.020210275,0.021321248,0.0895447,0.00512968,0.30138364,0.018662723,0.165504,0.8583925,0.0048149596,0.45320103,0.044757698,0.00050418987,0.18529025,0.018124072,0.7426288,0.025955718,0.19853367,0.016482493,0.09309937,0.009478369,0.041348334,0.015262268,0.038877778,0.06280956,0.03782844,0.063402906,0.052742746,0.018910892,0.016666783,0.046965513,0.83563894,0.04367084,0.0665739,0.12116688,0.071832985,0.03211136,0.007051311,0.07489395,0.015911499,0.036744993,0.0060351584,0.04401876,0.060619067,0.33359975,0.0011005412,0.039307017,0.018462703,0.22637084,0.039836746,0.103816085,0.024826722,0.005067852,0.020335307,0.012614111,0.0042216913,0.04324457,0.028185472,0.0066450466,0.067213245,0.06321107,0.02407137,0.16092095,0.014289657,0.01826619,0.04442038,0.0111462055,0.32362837,0.05721031,0.110857844,0.05881503,0.00610132,0.019840665,0.26799235,0.012658344,0.030835392,0.25934646,0.01553714,0.020286793,0.3334685,0.087393716,0.07216859,0.046156175,0.014855021,0.2251195,0.0076071005,0.05567076,0.034345496,0.042177577,0.06264632,0.120810255,0.0037162474,0.10205438,0.021810375,0.0069072456,0.16750917,0.0001808973,0.077115186,0.16311075,0.03103943
