id,CID,dilution,solvent
1,-1,1,nt
2,-2,0.1,pg
3,-3,0.5,pg
4,-4,1,nt
5,-5,1,nt
6,-6,1,nt
7,-7,1,nt
8,-8,1,nt
9,-9,1,nt
10,102861,0.01,pg
11,10313079,0.2,pg
12,10400,0.001,pg
13,10400,0.0023,paraffin oil
14,10400,0.012,paraffin oil
15,10400,0.024,paraffin oil
16,10400,0.03,paraffin oil
17,10400,0.05,pg
18,10400,0.098,paraffin oil
19,10400,0.19,paraffin oil
20,10400,0.2,paraffin oil
21,10400,0.2,pg
22,10430,0.001,pg
23,10430,0.01,pg
24,10430,0.1,pg
25,1049,0.003,pg
26,1049,0.01,pg
27,1049,7e-04,pg
28,10882,0.0001,pg
29,10882,0.00045,paraffin oil
30,10882,0.001,dep
31,10882,0.001,paraffin oil
32,10882,0.0047,paraffin oil
33,10882,0.0076,dep
34,10882,0.01,pg
35,10882,0.013,dep
36,10882,0.03,dep
37,10882,1e-04,pg
38,10886,0.2,dep
39,10890,0.005,dep
40,10890,0.005,pg
41,10890,0.0051,paraffin oil
42,10890,0.0091,paraffin oil
43,10890,0.03,dep
44,10890,0.05,dep
45,10890,0.05,paraffin oil
46,10890,0.09,dep
47,10890,0.091,paraffin oil
48,10890,0.1,dep
49,10890,0.18,dep
50,10890,0.57,paraffin oil
51,10947,0.1,dep
52,10976,0.1,pg
53,11002,7e-04,dep
54,11176,0.001,dep
55,11176,0.001,pg
56,11176,0.08,pg
57,11176,0.3,dep
58,11176,0.3,pg
59,11251,0.01,pg
60,1140,0.01,pg
61,114533,0.1,pg
62,11552,0.0005,pg
63,11552,0.001,pg
64,11552,0.008,pg
65,11552,0.01,pg
66,11552,0.1,pg
67,11552,5e-04,pg
68,11684,0.2,pg
69,11702,0.1,pg
70,11747,0.0001,pg
71,11747,0.1,pg
72,11747,1e-04,pg
73,11781,0.05,dep
74,1183,0.1,99% ethanol
75,12180,0.003,dep
76,12180,0.003,pg
77,12180,0.007,dep
78,12180,0.01,dep
79,12180,0.01,pg
80,12180,0.04,dep
81,12180,0.08,dep
82,12180,0.17,dep
83,12206,0.001,pg
84,12297,0.001,pg
85,12367,0.03,dep
86,12367,0.05,dep
87,12367,0.08,dep
88,12367,0.1,dep
89,12367,0.1,pg
90,12367,0.12,dep
91,12367,0.18,dep
92,12587,1,nt
93,12748,0.0001,pg
94,12748,0.01,pg
95,12748,1e-04,pg
96,12810,1,nt
97,12813,1,nt
98,14057,0.01,pg
99,14286,0.001,dep
100,14286,0.001,pg
101,14286,0.005,pg
102,14286,0.008,dep
103,14286,0.01,pg
104,14286,0.017,pg
105,14286,0.036,pg
106,14286,0.05,dep
107,14286,0.07,dep
108,14286,0.07,pg
109,14286,1e-04,dep
110,14286,1e-04,pg
111,14286,5e-04,dep
112,14514,0.0022,pg
113,14514,0.0093,pg
114,14514,0.1,pg
115,14514,0.17,pg
116,15037,0.01,dep
117,15037,0.03,dep
118,15037,0.15,dep
119,15037,1,nt
120,15651,1,nt
121,16590,0.001,pg
122,177,0.001,pg
123,177,0.01,pg
124,177,0.1,pg
125,18635,0.000005,pg
126,18635,0.001,pg
127,18635,0.01,pg
128,18635,5e-04,pg
129,18635,5e-06,pg
130,18840,0.005,pg
131,19309,0.122,pg
132,20499,0.001,dep
133,20499,0.02,pg
134,20499,0.05,dep
135,20499,0.1,dep
136,20499,0.6,dep
137,21059,0.01,90% ethanol
138,21427952,0.001,pg
139,21648,0.1,99% ethanol
140,22201,0.002,"1,2-propanediol"
141,22201,0.002,pg
142,2345,0.01,pg
143,2345,0.2,pg
144,2345,5e-04,pg
145,23642,0.001,dep
146,23642,0.08,dep
147,23642,0.3,dep
148,240,0.001,pg
149,240,0.003,pg
150,240,0.0099,pg
151,240,0.024,pg
152,240,0.1,pg
153,240,0.4,pg
154,240,6e-05,pg
155,2724126,0.1,pg
156,27458,0.0005,pg
157,27458,0.3,pg
158,27458,5e-04,pg
159,2758778,0.01,pg
160,31252,0.001,pg
161,31252,0.007,pg
162,31252,0.01,dep
163,31252,0.01,pg
164,31252,0.05,pg
165,31252,0.069,pg
166,31252,0.2,mineral oil
167,31252,0.2,pg
168,31252,0.65,pg
169,31252,1,nt
170,31260,0.001,pg
171,31260,0.08,pg
172,31260,0.3,pg
173,31265,0.001,dep
174,31265,0.002,dep
175,31265,0.01,dep
176,31265,0.04,dep
177,31265,8e-04,dep
178,31266,0.5,pg
179,31272,0.001,pg
180,31276,0.1,99% ethanol
181,31276,0.1,pg
182,325,0.001,pg
183,325,0.1,pg
184,325,0.2,pg
185,32594,0.2,pg
186,326,0.0005,pg
187,326,0.001,dep
188,326,0.005,dep
189,326,0.01,pg
190,326,0.05,dep
191,326,0.08,dep
192,326,0.1,dep
193,326,0.1,pg
194,326,0.18,dep
195,326,0.3,pg
196,326,5e-04,pg
197,3314,0.015,dep
198,3314,0.02,dep
199,3314,0.045,dep
200,3314,0.1,dep
201,3314,0.1,pg
202,3314,0.11,dep
203,3314,0.14,dep
204,4133,0.01,paraffin oil
205,4133,0.01,pg
206,4133,0.02,paraffin oil
207,4133,0.039,paraffin oil
208,4133,0.04,paraffin oil
209,4133,0.15,paraffin oil
210,439570,0.0064,paraffin oil
211,439570,0.0088,paraffin oil
212,439570,0.096,paraffin oil
213,439570,0.1,pg
214,439570,0.2,paraffin oil
215,439570,0.3,paraffin oil
216,439570,0.3,pg
217,439570,0.6,paraffin oil
218,443162,1,nt
219,460,0.1,"1,2-propanediol"
220,460,0.1,pg
221,4657,0.3,pg
222,5144,0.1,dep
223,522674,0.001,dep
224,522674,0.1,dep
225,522674,1e-06,dep
226,5281167,0.08,pg
227,5281167,0.1,pg
228,5281167,0.5,pg
229,5281168,0.001,mineral oil
230,5281168,0.001,pg
231,5281168,0.08,pg
232,5281168,0.3,pg
233,5281515,0.01,dep
234,5281515,0.07,dep
235,5281515,0.1,dep
236,5281515,0.11,dep
237,5281515,0.3,dep
238,5281515,0.4,dep
239,5282707,0.01,pg
240,5282707,0.1,pg
241,5318042,0.005,pg
242,5318042,0.15,pg
243,5324978,0.3,pg
244,5362720,0.015,pg
245,5362814,0.001,pg
246,5363388,0.005,pg
247,5363388,0.05,pg
248,5363388,5e-05,pg
249,5365027,0.0011,paraffin oil
250,5365027,0.0012,paraffin oil
251,5365027,0.0041,paraffin oil
252,5365027,0.0083,paraffin oil
253,5365027,0.01,paraffin oil
254,5365027,0.011,paraffin oil
255,5365027,0.024,paraffin oil
256,5365027,0.23,paraffin oil
257,5366074,0.1,99% ethanol
258,5368076,0.001,pg
259,5368076,0.3,pg
260,6054,0.1,pg
261,60985,0.3,dep
262,61325,0.002,pg
263,61325,0.2,pg
264,61527,0.001,pg
265,61527,0.1,pg
266,61527,0.4,pg
267,61641,0.001,pg
268,61641,0.01,pg
269,61641,1e-05,pg
270,61809,0.0005,pg
271,61809,0.05,pg
272,61809,5e-04,pg
273,6184,0.001,pg
274,6184,0.02,pg
275,6184,0.2,pg
276,61918,0.006,pg
277,61918,0.012,pg
278,61918,0.025,pg
279,61918,0.05,pg
280,61918,0.2,pg
281,61982,1e-04,pg
282,62444,0.001,pg
283,62444,5e-05,pg
284,62465,0.001,pg
285,62465,0.01,pg
286,62465,0.05,pg
287,62465,0.2,pg
288,6276,0.01,pg
289,6276,0.05,pg
290,6276,0.2,pg
291,6276,0.3,pg
292,6276,0.5,pg
293,637511,0.01,dep
294,637511,0.4,dep
295,637511,0.4,pg
296,637511,1e-04,"1,2-propanediol"
297,637511,1e-04,dep
298,637563,0.0037,paraffin oil
299,637563,0.037,paraffin oil
300,637563,0.077,paraffin oil
301,637563,0.3,paraffin oil
302,637564,0.001,pg
