id,components
166,121
180,412
199,442
204,345
375,133
410,100
412,126
423,155
479,244
54,65
549,285
588,527
628,321
715,389
788,61
902,282
909,494
937,97
984,213
992,340
A072,503
A097,409
A117,283
A131,291
A204,402
A209,72
A244,76
A245,24
A246,273
A298,282
A299,269
A316,170
A317,22
A398,444
A442,71
A454,305
A468,445
A483,486
A504,306
A521,326
A571,181
A640,289
A701,268
A858,185
A866,488
A867,275
A904,504
A996,172
AA007,244;527
AA034,121;321
AA062,340;314
AA085,412;155
AA088,345;65
AA097,244;100
AA126,314;96
AA135,527;314
AA142,121;527
AA160,340;282
AA162,244;321
AA175,412;527
AA212,412;527
AA217,133;96
AA232,133;527
AA297,285;96
AA322,282;96
AA324,285;155
AA332,133;282
AA339,126;527
AA356,314;96
AA368,494;527
AA374,126;61
AA379,285;527
AA385,285;96
AA387,494;213
AA420,244;527
AA444,412;100
AA446,213;314
AA474,65;96
AA476,126;442
AA495,100;96
AA513,282;96
AA524,285;65
AA592,126;527
AA616,100;96
AA618,412;442
AA632,494;65
AA649,133;527
AA700,244;61
AA725,121;96
AA808,126;100
AA850,133;321
AA875,213;282
AA886,345;442
AA893,121;61
AA944,340;96
AA962,121;527
AA978,345;155
AA988,65;96
AB001,100;314
AB014,442;314
AB019,442;282
AB025,155;314
AB026,155;282
AB036,155;96
AB078,65;314
AB144,65;282
AB186,65;321
AB193,527;282
AB222,527;96
AB223,527;321
AB226,527;61
AB281,213;96
AB287,213;321
AB357,213;61
AB378,213;100
AB379,340;321
AB391,340;61
AB398,340;100
AB399,340;442
AB413,133;61
AB425,133;100
AB435,133;442
AB451,133;155
AB465,121;100
AB486,121;442
AB518,121;155
AB567,121;65
AB586,244;442
AB591,244;155
AB618,244;65
AB633,126;155
AB641,126;65
AB672,126;213
AB676,412;65
AB707,412;213
AB731,412;340
AB744,345;527
AB764,345;213
AB771,345;340
AB817,345;133
AB841,285;213
AB873,285;340
AB920,285;133
AB935,285;121
AB958,494;340
AB981,494;133
AB988,494;121
AB992,494;244
AC024,184;84
AC028,220;53
AC033,346;530
AC040,433;83
AC067,220;83
AC105,346;281
AC109,388;63
AC148,346;261
AC155,451;103
AC182,388;530
AC203,52;134
AC214,433;281
AC220,83;134
AC257,388;264
AC266,358;261
AC299,358;264
AC304,184;51
AC327,346;84
AC329,346;264
AC340,451;134
AC394,189;53
AC440,52;103
AC445,451;63
AC459,184;83
AC478,53;103
AC481,220;261
AC489,189;52
AC497,451;530
AC516,388;103
AC557,358;63
AC570,51;530
AC627,220;264
AC650,433;261
AC663,51;103
AC667,184;52
AC676,220;84
AC685,388;281
AC712,189;83
AC725,189;261
AC726,51;134
AC729,433;264
AC737,433;84
AC739,52;63
AC754,451;281
AC761,53;134
AC820,184;53
AC880,51;63
AC930,358;281
AC933,358;530
AC958,189;84
AD011,451;126
AD015,83;285
AD038,53;121
AD048,451;494
AD062,83;412
AD074,451;412
AD075,346;244
AD085,220;340
AD101,346;126
AD120,220;133
AD132,184;213
AD133,451;345
AD222,433;133
AD230,346;340
AD234,184;340
AD254,220;244
AD315,358;244
AD317,220;213
AD329,189;213
AD347,189;133
AD386,433;121
AD427,53;345
AD462,53;285
AD481,358;126
AD505,358;121
AD567,451;285
AD635,83;494
AD639,358;345
AD649,83;126
AD659,346;412
AD690,189;121
AD718,53;412
AD737,358;412
AD738,433;244
AD754,433;340
AD756,52;285
AD781,346;133
AD808,451;244
AD835,358;133
AD853,53;126
AD862,346;121
AD866,220;121
AD876,189;340
AD892,52;494
AD917,433;213
AD919,83;345
AD961,52;345
AD967,53;244
AD994,184;133
AD995,433;126
AE002,434;65
AE004,38;531
AE042,243;361
AE043,38;159
AE061,69;361
AE067,243;60
AE099,432;528
AE140,38;361
AE142,432;365
AE148,389;531
AE153,432;531
AE177,389;213
AE184,434;528
AE192,38;213
AE207,120;213
AE240,243;159
AE241,138;531
AE280,120;98
AE297,120;361
AE334,389;340
AE379,120;531
AE421,434;527
AE448,38;528
AE459,243;528
AE532,389;159
AE539,243;59
AE568,389;528
AE574,38;98
AE645,434;98
AE646,243;531
AE659,432;416
AE666,434;340
AE675,432;59
AE681,69;213
AE715,69;59
AE755,434;159
AE761,120;60
AE767,432;361
AE775,120;159
AE798,389;527
AE809,120;528
AE810,38;340
AE825,434;213
AE855,69;60
AE911,69;531
AE913,69;159
AE929,389;98
AE942,69;528
AE958,432;60
AE967,243;365
AF010,59
AF054,243
AF065,212;168;333;467;385;50;251;15;32;522
AF107,163
AF113,189
AF123,281
AF139,38
AF184,83
AF197,220
AF199,334
AF201,138
AF213,464
AF296,103
AF301,169;465;385;249;14
AF323,84
AF333,69
AF337,211;165;336;472;385;42;249;15;29;523
AF342,416
AF366,451
AF370,389
AF383,346
AF408,361
AF432,264
AF442,211;168;332;465;383;41;256;19;29;525
AF445,531
AF449,382
AF469,161;465;385;256;18
AF486,45
AF502,161;472;385;249;13
AF547,253
AF552,434
AF579,63
AF586,433
AF610,432
AF612,159
AF647,60
AF709,16
AF719,98
AF737,211;472;385;154;206
AF766,31
AF816,521
AF833,184
AF850,358
AF890,528
AF899,120
AF914,53
AF925,365
AF974,149
AF986,530
AF992,204
AG056,382;365
AG069,464;416
AG086,215;468;385;150;206
AG090,389;334
AG126,382;59
AG133,114
AG139,163;531
AG155,279
AG158,464;60
AG169,464;59
AG177,385;19;298
AG243,116
AG247,163;365
AG258,119;383;250;18;207
AG272,389;59
AG298,163;416
AG316,121;389
AG333,163;59
AG346,215;385;20
AG351,121;382
AG354,464;334
AG386,133;389
AG394,210;383;19
AG422,383;18;322
AG438,385;18;298
AG454,161;469;384;256;15
AG456,264;382
AG530,115;339;385;19;322
AG543,389;60
AG570,133;382
AG575,121;464
AG616,389;365
AG619,210;385;19
AG677,113;332;385;19;319
AG699,163;361
AG724,215;472;385;150;207
AG732,163;60
AG741,383;19;298
AG742,384;19;320
AG777,385;19;301
AG805,464;361
AG810,389;416
AG862,113;332;383;18;322
AG869,163;334
AG874,214;465;385;151;208
AG875,117;385;252;18;209
AG945,464;365
AG968,509
AG982,217;385;18
AG989,112;333;385;19;317
AH007,339;472;523
AH022,84;382
AH100,335;472;525
AH145,222;282
AH174,161;469;385
AH189,45;282
AH198,119;105;276;332;469;385;47;507;318;300
AH199,521;244
AH203,214;165;333;472;383;42;255;15;32;525
AH224,118;105;278;332;472;383;41;510;317;299
AH231,117;104;277;336;472;385;41;508;318;298
AH254,382;334
AH263,84;389
AH269,83;121
AH286,117;385;250;19;207
AH291,16;282
AH314,222;121
AH342,83;244
AH402,16;416
AH445,83;282
AH447,84;163
AH448,45;264
AH489,521;334
AH516,222;126
AH541,45;416
AH552,83;264
AH564,521;121
AH568,45;121
AH571,83;314
AH588,16;244
AH608,521;264
AH612,16;334
AH664,335;469;526
AH666,382;416
AH674,521;282
AH677,83;96
AH702,45;365
AH720,161;472;385
AH733,16;121
AH765,45;334
AH771,84;45
AH817,16;264
AH832,222;264
AH863,119;104;277;336;468;385;50;506;318;299
AH866,84;464
AH877,339;472;526
AH931,222;244
AH941,118;385;254;19;207
AH971,222;345
AH997,521;126
AI029,458
AI094,399
AI098,531;78
AI112,78
AI114,515
AI130,434;515
AI142,411;203;422;102;43;357;517;431;369;85
AI163,44
AI170,434;200
AI205,253;358
AI216,531;405
AI228,371
AI240,30
AI242,403;199;420;111;49;356;518;427;368;90
AI273,174;354;398;80;33;233;191;441;457;395
AI292,192
AI304,253;442
AI338,163;31
AI342,531;353
AI347,408;197;421;109;48;359;513;429;374;86
AI348,420
AI357,200
AI376,404;202;419;107;39;355;514;428;373;87
AI453,176;350;399;77;36;238;188;438;456;393
AI505,434;237
AI570,65;371
AI580,175
AI587,88
AI610,237
AI614,357
AI635,163;458
AI636,442
AI665,173;352;396;75;30;236;190;440;455;394
AI681,177;352;400;81;30;235;187;437;460;390
AI722,392
AI751,353
AI768,175;351;397;82;35;234;194;439;459;391
AI780,407;198;423;106;46;360;519;426;370;91
AI797,434;430
AI814,253;100
AI820,99
AI851,531;175
AI856,430
AI884,531;392
AI895,405
AI897,163;420
AI926,163;192
AI943,163;399
AI981,163;88
AI990,253;45
AJ003,123;172;406;129;286
AJ008,230;498;484;406;275
AJ010,142;266;406;127;287
AJ018,479;504;343
AJ058,324;265;304;145;284
AJ062,172;414;297;145;286
AJ070,294;466;223;160;446;377;148;501;58;362
AJ108,444;293;158
AJ119,22;414;402;146;287
AJ191,24;230;415;264;127
AJ192,509;294;473
AJ244,143;231;497;402;303
AJ261,142;171;497;409;274
AJ266,297;224;167;269;447;377;500;56;364;290
AJ283,445;66;157
AJ316,64;344;108
AJ334,479;17;466
AJ356,27;496;344
AJ380,343;275;135
AJ413,470;347;223;490;135;381;152;58;247;363
AJ438,293;348;223;164;446;22;153;248;364;290
AJ449,477;24;496;293;304
AJ481,144;232;483;274;145
AJ487,144;124;294;129;284
AJ490,477;497;470
AJ495,263;482;409;273;286
AJ507,101;448;132
AJ522,153;273;17
AJ537,297;160;268;240;132;447;483;501;247;363
AJ544,466;167;488;239;380;23;55;246;362;292
AJ573,148;503;12
AJ587,478;25;491
AJ601,22;231;170;414;266
AJ626,496;413;274;302;147
AJ639,152;443;259
AJ647,505;64;108
AJ657,123;23;231;275;128
AJ661,122;232;323;415;147
AJ728,492;342;21
AJ733,26;498;258
AJ755,67;136;12
AJ809,124;170;324;265;101
AJ840,473;225;316;167;448;152;499;56;246;364
AJ862,502;21;466
AJ915,171;497;110;128;284
AJ968,511;502;446
AJ977,349;315;487;448;482;380;500;56;363;288
AJ986,325;413;110;146;287
AJ990,470;348;164;487;136;484;381;148;246;362
AJ995,293;225;164;267;380;24;153;55;248;363
AK010,67;70;130;218;288;375;417;484;306;524
AK033,70;141;218;230;241;329;366;418;483;306
AK052,71;130;230;291;323;327;366;417;449;402
AK067,493
AK103,409;186;491;183;232
AK113,66;71;130;242;306;325;330;376;417;520
AK118,70;291;305;323;327;376;449;462;483;524
AK135,66;70;130;141;218;366;377;418;462;402
AK308,377;183;270;402;436
AK344,12;436;230;270;386
AK359,68
AK361,71;141;218;182;323;329;366;418;463;483
AK366,66;71;141;218;232;242;305;323;520;449
AK418,28;491;193;386;436
AK432,62;218;230;241;306;366;130;483;402;524
AK436,130;141;182;306;366;377;417;449;463;480
AK452,425
AK455,436;183;232;263;450
AK477,21;409;183;386;491
AK488,377;127;21;491;402
AK494,11;12;183;312;435
AK497,66;141;232;242;289;305;330;366;520;449
AK502,70;130;232;242;306;323;366;463;480;436
AK530,11;21;491;271;311
AK531,34;127;436;195;491
AK571,11;12;127;157;232
AK574,232;312;402;193;436
AK602,62;70;141;218;232;289;327;377;417;449
AK630,401
AK697,70;130;292;306;323;366;418;520;480;436
AK716,93;195;230;263;436
AK717,409;156;183;262;312
AK719,28;125;186;386;436
AK723,71;130;232;242;323;366;449;462;483;524
AK727,34;377;21;263;402
AK739,183;262;386;402;436
AK788,93;409;183;189;230
AK814,232;292;327;366;418;130;449;462;402;520
AK846,92
AK851,67;72;141;218;241;291;306;330;366;524
AK852,72;141;242;292;306;323;417;462;484;436
AK864,196;157;263;386;491
AK893,409;129;232;263;491
AK895,67;130;141;232;288;306;328;379;520;436
AK907,11;12;436;232;272
AK942,11;409;312;386;436
AK971,66;130;230;241;329;366;417;449;462;524
AK975,11;34;94;21;263
AK977,263;21;196;386;452
AK983,93;409;262;310;386
AL047,185;485;475;483;486
AL090,166;189;486;524;529
